Ref,Val,Package,PosX,PosY,Rot,Side
"ADC1_SDOC1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",154.200000,-89.100000,0.000000,top
"ADC1_SDOD1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",149.200000,-92.600000,0.000000,top
"ADC2SDOD1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",178.200000,-110.100000,90.000000,top
"ADC2_AINA1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",143.700000,-141.100000,180.000000,top
"ADC2_AINB1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",126.800000,-141.600000,0.000000,top
"ADC2_AINC1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",113.400000,-141.400000,0.000000,top
"ADC2_AIND1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",120.400000,-140.600000,180.000000,top
"ADC2_CS1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",183.210600,-110.100000,0.000000,top
"ADC2_SCLK1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",154.200000,-127.100000,-90.000000,top
"ADC2_SDOA1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",183.200000,-104.600000,0.000000,top
"ADC2_SDOB1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",154.200000,-123.100000,0.000000,top
"ADC2_SDOC1","TestPoint","TestPoint_Keystone_5000-5004_Miniature",177.800000,-105.800000,0.000000,top
"C1","22uF","C_0805_2012Metric",168.875000,-55.075000,-90.000000,top
"C2","15nF","C_0402_1005Metric",156.975000,-57.945000,-90.000000,top
"C3","47µF","C_1206_3216Metric",168.725000,-59.100000,90.000000,top
"C4","0.1µF","C_0402_1005Metric",146.400000,-82.125000,-90.000000,top
"C5","10µF","C_0603_1608Metric",147.667000,-82.820000,-90.000000,top
"C6","10µF","C_0603_1608Metric",173.049800,-65.240700,180.000000,top
"C7","10µF","C_0603_1608Metric",197.500000,-81.775000,180.000000,top
"C8","22uF","CP_EIA-3528-21_Kemet-B",173.124800,-61.778200,90.000000,top
"C9","22uF","CP_EIA-3528-21_Kemet-B",197.425000,-78.387500,90.000000,top
"C10","0.1µF","C_0402_1005Metric",146.400000,-79.865000,90.000000,top
"C11","10µF","C_0603_1608Metric",147.667000,-79.720000,90.000000,top
"C12","10µF","C_0603_1608Metric",137.074000,-85.282500,180.000000,top
"C13","10µF","C_0603_1608Metric",146.850000,-137.550000,-90.000000,top
"C14","10µF","C_0603_1608Metric",205.700000,-92.825000,180.000000,top
"C15","0.1µF","C_0402_1005Metric",137.629000,-86.582500,180.000000,top
"C16","22uF","CP_EIA-3528-21_Kemet-B",143.387500,-137.575000,180.000000,top
"C17","22uF","CP_EIA-3528-21_Kemet-B",205.775000,-89.362500,90.000000,top
"C18","1µF","C_0603_1608Metric",192.025000,-88.025000,0.000000,top
"C19","10µF","C_0603_1608Metric",147.900000,-44.275000,90.000000,top
"C20","10µF","C_0603_1608Metric",147.624000,-89.282500,0.000000,top
"C21","0.1µF","C_0402_1005Metric",147.369000,-87.982500,0.000000,top
"C22","22uF","CP_EIA-3528-21_Kemet-B",151.362500,-44.350000,0.000000,top
"C23","1µF","C_0603_1608Metric",196.776000,-90.350000,-90.000000,top
"C24","10µF","C_0603_1608Metric",173.000000,-55.900000,180.000000,top
"C25","22uF","CP_EIA-3528-21_Kemet-B",173.075000,-52.462500,90.000000,top
"C26","800fF","C_0402_1005Metric",122.758000,-88.920000,-90.000000,top
"C27","800fF","C_0402_1005Metric",122.858000,-102.020000,-90.000000,top
"C28","800fF","C_0402_1005Metric",122.808000,-95.570000,-90.000000,top
"C29","800fF","C_0402_1005Metric",122.758000,-108.670000,-90.000000,top
"C30","0.1µF","C_0402_1005Metric",134.088000,-89.200000,0.000000,top
"C31","10µF","C_0603_1608Metric",134.583000,-87.800000,0.000000,top
"C32","0.1µF","C_0402_1005Metric",134.138000,-102.350000,0.000000,top
"C33","10µF","C_0603_1608Metric",134.683000,-100.950000,0.000000,top
"C34","0.1µF","C_0402_1005Metric",134.050000,-95.850000,0.000000,top
"C35","10µF","C_0603_1608Metric",134.605000,-94.500000,0.000000,top
"C36","0.1µF","C_0402_1005Metric",133.978000,-108.930000,0.000000,top
"C37","10µF","C_0603_1608Metric",134.583000,-107.580000,0.000000,top
"C38","0.1µF","C_0402_1005Metric",142.376900,-99.600000,180.000000,top
"C39","0.1µF","C_0402_1005Metric",141.623400,-107.510000,180.000000,top
"C40","1µF","C_0603_1608Metric",145.950800,-108.600000,0.000000,top
"C41","0.1µF","C_0402_1005Metric",140.476900,-99.650000,180.000000,top
"C42","0.1µF","C_0402_1005Metric",145.200000,-98.800000,0.000000,top
